model_name,batch_size,num_images,streams,num_iterations,precision
efficientnet_b4,1,1,1,16384,bf16
efficientnet_b4,4,4,1,4096,bf16
efficientnet_b4,16,16,1,1024,bf16
efficientnet_b4,64,64,1,256,bf16
efficientnet_b4,128,128,1,128,bf16
efficientnet_b4,256,256,1,64,bf16
efficientnet_b4,1,1,2,8192,bf16
efficientnet_b4,4,4,2,2048,bf16
efficientnet_b4,16,16,2,512,bf16
efficientnet_b4,64,64,2,128,bf16
efficientnet_b4,128,128,2,64,bf16
efficientnet_b4,1,1,4,4096,bf16
efficientnet_b4,4,4,4,1024,bf16
efficientnet_b4,16,16,4,256,bf16
efficientnet_b4,64,64,4,64,bf16
